Title,Author(s),Year,Publisher,Series
Murder's Legionnaires,"Grant Stockbridge, Norvell Page",1942,Popular Publications,The Spider
The Gentleman From Hell,"Grant Stockbridge, Norvell Page",1942,Popular Publications,The Spider
Slaves of the Ring,"Grant Stockbridge, Norvell Page",1942,Popular Publications,The Spider
The Spider and the Death Piper,"Grant Stockbridge, Norvell Page",1942,Popular Publications,The Spider
Revolt of the Underworld,"Grant Stockbridge, Norvell Page",1942,Popular Publications,The Spider
Return of the Racket Kings,"Grant Stockbridge, Norvell Page",1942,Popular Publications,The Spider
Fangs of the Dragon,"Grant Stockbridge, Norvell Page",1942,Popular Publications,The Spider
Hell Rolls on the Highways!,"Grant Stockbridge, Norvell Page",1942,Popular Publications,The Spider
Army of the Damned,"Grant Stockbridge, Norvell Page",1942,Popular Publications,The Spider
Zara-Master of Murder,"Grant Stockbridge, Norvell Page",1942,Popular Publications,The Spider
The Spider and the Flame King,"Grant Stockbridge, Norvell Page",1942,Popular Publications,The Spider
The Howling Death,"Grant Stockbridge, Norvell Page",1943,Popular Publications,The Spider
Secret City of Crime,"Robert Turner, Norvell Page",1943,Popular Publications,The Spider
Recruit for the Spider Legion,"Grant Stockbridge, Norvell Page",1943,Popular Publications,The Spider
The Spider and the Man from Hell,"Robert Turner, Grant Stockbridge, Norvell Page",1943,Popular Publications,The Spider
The Criminal Horde,"Robert Turner, Grant Stockbridge, Norvell Page",1943,Popular Publications,The Spider
The Spider and Hell's Factory,"Robert Turner, Grant Stockbridge, Norvell Page",1943,Popular Publications,The Spider
When Satan Came to Town,Prentice Winchell (aka Stewart Stirling),1943,Popular Publications,The Spider
"Justice, Inc.","Paul Ernst, Kenneth Robeson",1939,Street And Smith,The Avenger
The Yellow Hoard,"Paul Ernst, Kenneth Robeson",1939,Street And Smith,The Avenger
The Sky Walker,"Paul Ernst, Kenneth Robeson",1939,Street And Smith,The Avenger
The Devil's Horns,"Paul Ernst, Kenneth Robeson",1939,Street And Smith,The Avenger
The Frosted Death,"Paul Ernst, Kenneth Robeson",1940,Street And Smith,The Avenger
The Blood Ring,"Paul Ernst, Kenneth Robeson",1940,Street And Smith,The Avenger
Stockholders in Death,"Paul Ernst, Kenneth Robeson",1940,Street And Smith,The Avenger
The Glass Mountain,"Paul Ernst, Kenneth Robeson",1940,Street And Smith,The Avenger
Tuned for Murder,"Paul Ernst, Kenneth Robeson",1940,Street And Smith,The Avenger
The Smiling Dogs,"Paul Ernst, Kenneth Robeson",1940,Street And Smith,The Avenger
River of Ice,"Paul Ernst, Kenneth Robeson",1940,Street And Smith,The Avenger
The Flame Breathers,"Paul Ernst, Kenneth Robeson",1940,Street And Smith,The Avenger
Murder on Wheels,"Paul Ernst, Kenneth Robeson",1940,Street And Smith,The Avenger
Three Gold Crowns,"Paul Ernst, Kenneth Robeson",1941,Street And Smith,The Avenger
House of Death,"Paul Ernst, Kenneth Robeson",1941,Street And Smith,The Avenger
The Hate Master,"Paul Ernst, Kenneth Robeson",1941,Street And Smith,The Avenger
Nevlo,"Paul Ernst, Kenneth Robeson",1941,Street And Smith,The Avenger
Death in Slow Motion,"Paul Ernst, Kenneth Robeson",1941,Street And Smith,The Avenger
Pictures of Death,"Paul Ernst, Kenneth Robeson",1941,Street And Smith,The Avenger
The Green Killer,"Paul Ernst, Kenneth Robeson",1942,Street And Smith,The Avenger
The Happy Killers,"Paul Ernst, Kenneth Robeson",1942,Street And Smith,The Avenger
The Black Death,"Paul Ernst, Kenneth Robeson",1942,Street And Smith,The Avenger
The Wilder Curse,"Paul Ernst, Kenneth Robeson",1942,Street And Smith,The Avenger
Midnight Murder,"Paul Ernst, Kenneth Robeson",1942,Street And Smith,The Avenger
Death to the Avenger,"Emile C. Tepperman, Kenneth Robeson",1942,Street And Smith,The Avenger
A Coffin for the Avenger,"Emile C. Tepperman, Kenneth Robeson",1942,Street And Smith,The Avenger
Vengeance on the Avenger,"Emile C. Tepperman, Kenneth Robeson",1943,Street And Smith,The Avenger
"Calling Justice, Inc.!","Emile C. Tepperman, Kenneth Robeson",1943,Street And Smith,The Avenger
Cargo of Doom,"Emile C. Tepperman, Kenneth Robeson",1943,Street And Smith,The Avenger
The Man from Atlantis,"Ron Goulart, Kenneth Robeson",1974,Warner Paperback Library,The Avenger
Red Moon,"Ron Goulart, Kenneth Robeson",1974,Warner Paperback Library,The Avenger
The Purple Zombie,"Ron Goulart, Kenneth Robeson",1974,Warner Paperback Library,The Avenger
Dr. Time,"Ron Goulart, Kenneth Robeson",1974,Warner Paperback Library,The Avenger
The Nightwitch Devil,"Ron Goulart, Kenneth Robeson",1974,Warner Paperback Library,The Avenger
Black Chariots,"Ron Goulart, Kenneth Robeson",1974,Warner Paperback Library,The Avenger
The Cartoon Crimes,"Ron Goulart, Kenneth Robeson",1974,Warner Paperback Library,The Avenger
The Death Machine,"Ron Goulart, Kenneth Robeson",1975,Warner Paperback Library,The Avenger
The Blood Countess,"Ron Goulart, Kenneth Robeson",1975,Warner Paperback Library,The Avenger
The Glass Man,"Ron Goulart, Kenneth Robeson",1975,Warner Paperback Library,The Avenger
The Iron Skull,"Ron Goulart, Kenneth Robeson",1975,Warner Paperback Library,The Avenger
Demon Island,"Ron Goulart, Kenneth Robeson",1975,Warner Paperback Library,The Avenger
